,movies,year,imdb_rating,metascore,number_of_votes,n_imdb
2041,Birdman or (The Unexpected Virtue of Ignorance),2014,7.7,88,486318,77.0
2042,Jaws,1975,8.0,87,484517,80.0
2043,Kick-Ass,2010,7.6,66,480883,76.0
2044,Looper,2012,7.4,84,480184,74.0
2045,Spider-Man 2,2004,7.3,83,473808,73.0
2046,Lock Stock and Two Smoking Barrels,1998,8.2,66,472959,82.0
2047,L.A. Confidential,1997,8.3,90,472355,83.0
2048,Superbad,2007,7.6,76,465208,76.0
2049,The Matrix Reloaded,2003,7.2,62,461122,72.0
2050,X2,2003,7.5,68,459676,75.0
2051,Arrival,2016,7.9,81,459227,79.0
2052,21 Jump Street,2012,7.2,69,459122,72.0
2053,Harry Potter and the Chamber of Secrets,2002,7.4,63,458656,74.0
2054,The Bourne Identity,2002,7.9,68,458251,79.0
2055,Interstellar,2014,8.6,74,1192882,86.0
2056,Guardians of the Galaxy,2014,8.1,76,859759,81.0
2057,Gone Girl,2014,8.1,79,710979,81.0
2058,Captain America: The Winter Soldier,2014,7.8,70,608111,78.0
2059,The Grand Budapest Hotel,2014,8.1,88,594073,81.0
2060,X-Men: Days of Future Past,2014,8.0,75,590736,80.0
2061,The Imitation Game,2014,8.0,73,581323,80.0
2062,Whiplash,2014,8.5,88,559811,85.0
2063,Edge of Tomorrow,2014,7.9,71,516275,79.0
2064,Birdman or (The Unexpected Virtue of Ignorance),2014,7.7,88,486318,77.0
2065,John Wick,2014,7.3,68,392509,73.0
2066,Ex Machina,2014,7.7,78,390480,77.0
2067,Lucy,2014,6.4,61,382626,64.0
2068,American Sniper,2014,7.3,72,381082,73.0
2069,Dawn of the Planet of the Apes,2014,7.6,79,375272,76.0
2070,Nightcrawler,2014,7.9,76,374684,79.0
2071,Fury,2014,7.6,64,360855,76.0
2072,The Hunger Games: Mockingjay - Part 1,2014,6.7,64,359691,67.0
2073,Big Hero 6,2014,7.8,74,342180,78.0
2074,The Theory of Everything,2014,7.7,72,335291,77.0
2075,Godzilla,2014,6.4,62,334090,64.0
2076,Boyhood,2014,7.9,100,305057,79.0
2077,22 Jump Street,2014,7.0,71,303965,70.0
2078,The Fault in Our Stars,2014,7.8,69,296754,78.0
2079,The Lego Movie,2014,7.8,83,287386,78.0
2080,How to Train Your Dragon 2,2014,7.8,76,256137,78.0
2081,Neighbors,2014,6.3,68,254170,63.0
2082,Noah,2014,5.8,68,221032,58.0
2083,Predestination,2014,7.5,69,211561,75.0
2084,It Follows,2014,6.9,83,165403,69.0
2085,Chef,2014,7.3,68,165180,73.0
2086,The Sixth Sense,1999,8.1,64,806444,81.0
2087,Iron Man,2008,7.9,79,802956,79.0
2088,Up,2009,8.3,88,794144,83.0
2089,The Truman Show,1998,8.1,90,789068,81.0
2090,One Flew Over the Cuckoo's Nest,1975,8.7,80,786259,87.0
2091,Eternal Sunshine of the Spotless Mind,2004,8.3,89,779788,83.0
2092,Reservoir Dogs,1992,8.3,79,779577,83.0
2093,The Lion King,1994,8.5,83,776378,85.0
2094,The Hunger Games,2012,7.2,68,770809,72.0
2095,Raiders of the Lost Ark,1981,8.5,85,766282,85.0
2096,Deadpool,2016,8.0,65,748247,80.0
2097,Star Wars: The Force Awakens,2015,8.0,81,747662,80.0
2098,Toy Story,1995,8.3,95,742862,83.0
2099,Jurassic Park,1993,8.1,68,737138,81.0
2100,The Shining,1980,8.4,63,728819,84.0
2101,A Beautiful Mind,2001,8.2,72,727526,82.0
2102,Mad Max: Fury Road,2015,8.1,90,723851,81.0
2103,No Country for Old Men,2007,8.1,91,722825,81.0
2104,Good Will Hunting,1997,8.3,70,721931,83.0
2105,Slumdog Millionaire,2008,8.0,86,716706,80.0
2106,Gone Girl,2014,8.1,79,710979,81.0
2107,Sin City,2005,8.0,74,701757,80.0
2108,Monsters Inc.,2001,8.1,78,695989,81.0
2109,The Terminator,1984,8.0,84,693260,80.0
2110,Die Hard,1988,8.2,70,683978,82.0
2111,Alien,1979,8.5,83,674743,85.0
2112,Gravity,2013,7.7,96,671223,77.0
2113,Donnie Darko,2001,8.1,88,669077,81.0
2114,Requiem for a Dream,2000,8.3,68,666675,83.0
2115,Catch Me If You Can,2002,8.1,75,665288,81.0
2116,A Clockwork Orange,1971,8.3,78,652211,83.0
2117,Harry Potter and the Deathly Hallows: Part 2,2011,8.1,87,650789,81.0
2118,The Hangover,2009,7.7,73,643776,77.0
2119,Toy Story 3,2010,8.3,92,643076,83.0
2120,Iron Man Three,2013,7.2,62,643053,72.0
2121,Gran Torino,2008,8.1,72,641602,81.0
2122,Scarface,1983,8.3,65,627909,83.0
2123,The Big Lebowski,1998,8.1,69,627050,81.0
2124,The Martian,2015,8.0,80,626956,80.0
2125,Amélie,2001,8.3,69,621149,83.0
2126,Black Swan,2010,8.0,79,619293,80.0
2127,City of God,2002,8.6,79,612325,86.0
2128,Spider-Man,2002,7.3,73,611215,73.0
2129,Captain America: The First Avenger,2011,6.9,66,608919,69.0
2130,Star Wars: Episode III - Revenge of the Sith,2005,7.6,68,608353,76.0
2131,Captain America: The Winter Soldier,2014,7.8,70,608111,78.0
2132,I Am Legend,2007,7.2,65,606795,72.0
2133,Indiana Jones and the Last Crusade,1989,8.3,65,600438,83.0
2134,Taxi Driver,1976,8.3,94,600305,83.0
2135,The Pianist,2002,8.5,85,598137,85.0
2136,Silver Linings Playbook,2012,7.8,81,597429,78.0
2137,Avengers: Age of Ultron,2015,7.4,66,594679,74.0
2138,The Grand Budapest Hotel,2014,8.1,88,594073,81.0
2139,Blade Runner,1982,8.2,89,592183,82.0
2140,X-Men: Days of Future Past,2014,8.0,75,590736,80.0
2141,The Good the Bad and the Ugly,1966,8.9,90,586027,89.0
2142,District 9,2009,7.9,81,584741,79.0
2143,X: First Class,2011,7.8,65,582944,78.0
2144,Kill Bill: Vol. 2,2004,8.0,83,581761,80.0
2145,The Imitation Game,2014,8.0,73,581323,80.0
2146,Full Metal Jacket,1987,8.3,76,574404,83.0
2147,How to Train Your Dragon,2010,8.1,74,573194,81.0
2148,Skyfall,2012,7.8,81,572893,78.0
2149,Aliens,1986,8.4,84,571663,84.0
2150,The King's Speech,2010,8.0,88,567609,80.0
2151,The Revenant,2015,8.0,76,567555,80.0
2152,The Bourne Ultimatum,2007,8.0,85,563232,80.0
2153,Trainspotting,1996,8.2,83,562192,82.0
2154,Million Dollar Baby,2004,8.1,86,559844,81.0
2155,Whiplash,2014,8.5,88,559811,85.0
2156,The Incredibles,2004,8.0,90,559084,80.0
2157,The Hunger Games: Catching Fire,2013,7.5,76,554912,75.0
2158,Transformers,2007,7.1,61,554168,71.0
2159,12 Angry Men,1957,8.9,96,551058,89.0
2160,Star Trek,2009,8.0,82,545148,80.0
2161,Pan's Labyrinth,2006,8.2,98,545111,82.0
2162,The Social Network,2010,7.7,95,544959,77.0
2163,The Hobbit: The Desolation of Smaug,2013,7.9,66,544070,79.0
2164,Ratatouille,2007,8.0,96,543097,80.0
2165,12 Years a Slave,2013,8.1,96,543047,81.0
2166,Fargo,1996,8.1,85,533104,81.0
2167,Shrek,2001,7.9,84,530118,79.0
2168,Harry Potter and the Sorcerer's Stone,2001,7.6,64,529875,76.0
2169,World War Z,2013,7.0,63,529104,70.0
2170,Twelve Monkeys,1995,8.0,74,524491,80.0
2171,Prometheus,2012,7.0,64,521150,70.0
2172,Apocalypse Now,1979,8.5,94,520058,85.0
2173,Casino Royale,2006,8.0,80,519852,80.0
2174,Ted,2012,7.0,62,519682,70.0
2175,Spirited Away,2001,8.6,96,516890,86.0
2176,The Curious Case of Benjamin Button,2008,7.8,70,516448,78.0
2177,Edge of Tomorrow,2014,7.9,71,516275,79.0
2178,Groundhog Day,1993,8.0,72,514963,80.0
2179,Argo,2012,7.7,86,513656,77.0
2180,Captain America: Civil War,2016,7.8,75,512833,78.0
2181,X-Men,2000,7.4,64,512495,74.0
2182,2001: A Space Odyssey,1968,8.3,82,509086,83.0
2183,Life of Pi,2012,7.9,79,507235,79.0
2184,The Amazing Spider-Man,2012,7.0,66,503570,70.0
2185,Psycho,1960,8.5,97,502693,85.0
2186,Into the Wild,2007,8.1,73,500615,81.0
2187,Heat,1995,8.2,76,498521,82.0
2188,Drive,2011,7.8,78,497249,78.0
2189,Logan,2017,8.1,77,495828,81.0
2190,Prisoners,2013,8.1,74,490946,81.0
2191,Inside Out,2015,8.2,94,490214,82.0
2192,Frozen,2013,7.5,74,488549,75.0
2193,Birdman or (The Unexpected Virtue of Ignorance),2014,7.7,88,486318,77.0
2194,Jaws,1975,8.0,87,484517,80.0
2195,Kick-Ass,2010,7.6,66,480883,76.0
2196,Looper,2012,7.4,84,480184,74.0
2197,Spider-Man 2,2004,7.3,83,473808,73.0
2198,Lock Stock and Two Smoking Barrels,1998,8.2,66,472959,82.0
2199,L.A. Confidential,1997,8.3,90,472355,83.0
2200,Superbad,2007,7.6,76,465208,76.0
2201,The Matrix Reloaded,2003,7.2,62,461122,72.0
2202,X2,2003,7.5,68,459676,75.0
2203,Arrival,2016,7.9,81,459227,79.0
2204,21 Jump Street,2012,7.2,69,459122,72.0
2205,Harry Potter and the Chamber of Secrets,2002,7.4,63,458656,74.0
2206,The Bourne Identity,2002,7.9,68,458251,79.0
2207,Star Wars: The Force Awakens,2015,8.0,81,747662,80.0
2208,Mad Max: Fury Road,2015,8.1,90,723851,81.0
2209,The Martian,2015,8.0,80,626956,80.0
2210,Avengers: Age of Ultron,2015,7.4,66,594679,74.0
2211,The Revenant,2015,8.0,76,567555,80.0
2212,Inside Out,2015,8.2,94,490214,82.0
2213,Ant-Man,2015,7.3,64,439482,73.0
2214,The Hateful Eight,2015,7.8,68,397296,78.0
2215,Spotlight,2015,8.1,93,330001,81.0
2216,Furious 7,2015,7.2,67,322491,72.0
2217,Sicario,2015,7.6,82,296769,76.0
2218,The Big Short,2015,7.8,81,284023,78.0
2219,Mission: Impossible - Rogue Nation,2015,7.4,75,281210,74.0
2220,Room,2015,8.2,86,280483,82.0
2221,Bridge of Spies,2015,7.6,81,246821,76.0
2222,The Hunger Games: Mockingjay - Part 2,2015,6.5,65,232446,65.0
2223,Spy,2015,7.0,75,204371,70.0
2224,Creed,2015,7.6,82,198877,76.0
2225,Everest,2015,7.1,64,171923,71.0
2226,Straight Outta Compton,2015,7.9,72,157181,79.0
2227,The Lobster,2015,7.1,82,155723,71.0
2228,Black Mass,2015,6.9,68,148841,69.0
2229,The Danish Girl,2015,7.1,66,133760,71.0
2230,Cinderella,2015,6.9,67,131638,69.0
2231,Steve Jobs,2015,7.2,82,131578,72.0
2232,The VVitch: A New-England Folktale,2015,6.8,83,130841,68.0
2233,The Sixth Sense,1999,8.1,64,806444,81.0
2234,Iron Man,2008,7.9,79,802956,79.0
2235,Up,2009,8.3,88,794144,83.0
2236,The Truman Show,1998,8.1,90,789068,81.0
2237,One Flew Over the Cuckoo's Nest,1975,8.7,80,786259,87.0
2238,Eternal Sunshine of the Spotless Mind,2004,8.3,89,779788,83.0
2239,Reservoir Dogs,1992,8.3,79,779577,83.0
2240,The Lion King,1994,8.5,83,776378,85.0
2241,The Hunger Games,2012,7.2,68,770809,72.0
2242,Raiders of the Lost Ark,1981,8.5,85,766282,85.0
2243,Deadpool,2016,8.0,65,748247,80.0
2244,Star Wars: The Force Awakens,2015,8.0,81,747662,80.0
2245,Toy Story,1995,8.3,95,742862,83.0
2246,Jurassic Park,1993,8.1,68,737138,81.0
2247,The Shining,1980,8.4,63,728819,84.0
2248,A Beautiful Mind,2001,8.2,72,727526,82.0
2249,Mad Max: Fury Road,2015,8.1,90,723851,81.0
2250,No Country for Old Men,2007,8.1,91,722825,81.0
2251,Good Will Hunting,1997,8.3,70,721931,83.0
2252,Slumdog Millionaire,2008,8.0,86,716706,80.0
2253,Gone Girl,2014,8.1,79,710979,81.0
2254,Sin City,2005,8.0,74,701757,80.0
2255,Monsters Inc.,2001,8.1,78,695989,81.0
2256,The Terminator,1984,8.0,84,693260,80.0
2257,Die Hard,1988,8.2,70,683978,82.0
2258,Alien,1979,8.5,83,674743,85.0
2259,Gravity,2013,7.7,96,671223,77.0
2260,Donnie Darko,2001,8.1,88,669077,81.0
2261,Requiem for a Dream,2000,8.3,68,666675,83.0
2262,Catch Me If You Can,2002,8.1,75,665288,81.0
2263,A Clockwork Orange,1971,8.3,78,652211,83.0
2264,Harry Potter and the Deathly Hallows: Part 2,2011,8.1,87,650789,81.0
2265,The Hangover,2009,7.7,73,643776,77.0
2266,Toy Story 3,2010,8.3,92,643076,83.0
2267,Iron Man Three,2013,7.2,62,643053,72.0
2268,Gran Torino,2008,8.1,72,641602,81.0
2269,Scarface,1983,8.3,65,627909,83.0
2270,The Big Lebowski,1998,8.1,69,627050,81.0
2271,The Martian,2015,8.0,80,626956,80.0
2272,Amélie,2001,8.3,69,621149,83.0
2273,Black Swan,2010,8.0,79,619293,80.0
2274,City of God,2002,8.6,79,612325,86.0
2275,Spider-Man,2002,7.3,73,611215,73.0
2276,Captain America: The First Avenger,2011,6.9,66,608919,69.0
2277,Star Wars: Episode III - Revenge of the Sith,2005,7.6,68,608353,76.0
2278,Captain America: The Winter Soldier,2014,7.8,70,608111,78.0
2279,I Am Legend,2007,7.2,65,606795,72.0
2280,Indiana Jones and the Last Crusade,1989,8.3,65,600438,83.0
2281,Taxi Driver,1976,8.3,94,600305,83.0
2282,The Pianist,2002,8.5,85,598137,85.0
2283,Silver Linings Playbook,2012,7.8,81,597429,78.0
2284,Avengers: Age of Ultron,2015,7.4,66,594679,74.0
2285,The Grand Budapest Hotel,2014,8.1,88,594073,81.0
2286,Blade Runner,1982,8.2,89,592183,82.0
2287,X-Men: Days of Future Past,2014,8.0,75,590736,80.0
2288,The Good the Bad and the Ugly,1966,8.9,90,586027,89.0
2289,District 9,2009,7.9,81,584741,79.0
2290,X: First Class,2011,7.8,65,582944,78.0
2291,Kill Bill: Vol. 2,2004,8.0,83,581761,80.0
2292,The Imitation Game,2014,8.0,73,581323,80.0
2293,Full Metal Jacket,1987,8.3,76,574404,83.0
2294,How to Train Your Dragon,2010,8.1,74,573194,81.0
2295,Skyfall,2012,7.8,81,572893,78.0
2296,Aliens,1986,8.4,84,571663,84.0
2297,The King's Speech,2010,8.0,88,567609,80.0
2298,The Revenant,2015,8.0,76,567555,80.0
2299,The Bourne Ultimatum,2007,8.0,85,563232,80.0
2300,Trainspotting,1996,8.2,83,562192,82.0
2301,Million Dollar Baby,2004,8.1,86,559844,81.0
2302,Whiplash,2014,8.5,88,559811,85.0
2303,The Incredibles,2004,8.0,90,559084,80.0
2304,The Hunger Games: Catching Fire,2013,7.5,76,554912,75.0
2305,Transformers,2007,7.1,61,554168,71.0
2306,12 Angry Men,1957,8.9,96,551058,89.0
2307,Star Trek,2009,8.0,82,545148,80.0
2308,Pan's Labyrinth,2006,8.2,98,545111,82.0
2309,The Social Network,2010,7.7,95,544959,77.0
2310,The Hobbit: The Desolation of Smaug,2013,7.9,66,544070,79.0
2311,Ratatouille,2007,8.0,96,543097,80.0
2312,12 Years a Slave,2013,8.1,96,543047,81.0
2313,Fargo,1996,8.1,85,533104,81.0
2314,Shrek,2001,7.9,84,530118,79.0
2315,Harry Potter and the Sorcerer's Stone,2001,7.6,64,529875,76.0
2316,World War Z,2013,7.0,63,529104,70.0
2317,Twelve Monkeys,1995,8.0,74,524491,80.0
2318,Prometheus,2012,7.0,64,521150,70.0
2319,Apocalypse Now,1979,8.5,94,520058,85.0
2320,Casino Royale,2006,8.0,80,519852,80.0
2321,Ted,2012,7.0,62,519682,70.0
2322,Spirited Away,2001,8.6,96,516890,86.0
2323,The Curious Case of Benjamin Button,2008,7.8,70,516448,78.0
2324,Edge of Tomorrow,2014,7.9,71,516275,79.0
2325,Groundhog Day,1993,8.0,72,514963,80.0
2326,Argo,2012,7.7,86,513656,77.0
2327,Captain America: Civil War,2016,7.8,75,512833,78.0
2328,X-Men,2000,7.4,64,512495,74.0
2329,2001: A Space Odyssey,1968,8.3,82,509086,83.0
2330,Life of Pi,2012,7.9,79,507235,79.0
2331,The Amazing Spider-Man,2012,7.0,66,503570,70.0
2332,Psycho,1960,8.5,97,502693,85.0
2333,Into the Wild,2007,8.1,73,500615,81.0
2334,Heat,1995,8.2,76,498521,82.0
2335,Drive,2011,7.8,78,497249,78.0
2336,Logan,2017,8.1,77,495828,81.0
2337,Prisoners,2013,8.1,74,490946,81.0
2338,Inside Out,2015,8.2,94,490214,82.0
2339,Frozen,2013,7.5,74,488549,75.0
2340,Birdman or (The Unexpected Virtue of Ignorance),2014,7.7,88,486318,77.0
2341,Jaws,1975,8.0,87,484517,80.0
2342,Kick-Ass,2010,7.6,66,480883,76.0
2343,Looper,2012,7.4,84,480184,74.0
2344,Spider-Man 2,2004,7.3,83,473808,73.0
2345,Lock Stock and Two Smoking Barrels,1998,8.2,66,472959,82.0
2346,L.A. Confidential,1997,8.3,90,472355,83.0
2347,Superbad,2007,7.6,76,465208,76.0
2348,The Matrix Reloaded,2003,7.2,62,461122,72.0
2349,X2,2003,7.5,68,459676,75.0
2350,Arrival,2016,7.9,81,459227,79.0
2351,21 Jump Street,2012,7.2,69,459122,72.0
2352,Harry Potter and the Chamber of Secrets,2002,7.4,63,458656,74.0
2353,The Bourne Identity,2002,7.9,68,458251,79.0
2354,Deadpool,2016,8.0,65,748247,80.0
2355,Captain America: Civil War,2016,7.8,75,512833,78.0
2356,Arrival,2016,7.9,81,459227,79.0
2357,Doctor Strange,2016,7.5,72,435498,75.0
2358,Rogue One,2016,7.8,65,434584,78.0
2359,La La Land,2016,8.1,93,382652,81.0
2360,Zootopia,2016,8.0,78,350080,80.0
2361,Hacksaw Ridge,2016,8.2,71,326669,82.0
2362,Fantastic Beasts and Where to Find Them,2016,7.4,66,309484,74.0
2363,Split,2016,7.3,62,273739,73.0
2364,10 Cloverfield Lane,2016,7.2,76,240692,72.0
2365,The Jungle Book,2016,7.4,77,227604,74.0
2366,The Nice Guys,2016,7.4,70,218457,74.0
2367,Moonlight,2016,7.4,99,199035,74.0
2368,Star Trek: Beyond,2016,7.1,68,197113,71.0
2369,Moana,2016,7.6,81,196387,76.0
2370,Finding Dory,2016,7.3,77,195128,73.0
2371,Manchester by the Sea,2016,7.8,96,191922,78.0
2372,Nocturnal Animals,2016,7.5,67,181081,75.0
2373,Sully,2016,7.5,74,180817,75.0
2374,The Conjuring 2,2016,7.4,65,170236,74.0
2375,Don't Breathe,2016,7.1,71,164094,71.0
2376,Lion,2016,8.1,69,162787,81.0
2377,Hell or High Water,2016,7.6,88,156956,76.0
2378,Hidden Figures,2016,7.8,74,152762,78.0
2379,The Secret Life of Pets,2016,6.5,61,147526,65.0
2380,Sausage Party,2016,6.2,66,146718,62.0
2381,Captain Fantastic,2016,7.9,72,142088,79.0
2382,The Sixth Sense,1999,8.1,64,806444,81.0
2383,Iron Man,2008,7.9,79,802956,79.0
2384,Up,2009,8.3,88,794144,83.0
2385,The Truman Show,1998,8.1,90,789068,81.0
2386,One Flew Over the Cuckoo's Nest,1975,8.7,80,786259,87.0
2387,Eternal Sunshine of the Spotless Mind,2004,8.3,89,779788,83.0
2388,Reservoir Dogs,1992,8.3,79,779577,83.0
2389,The Lion King,1994,8.5,83,776378,85.0
2390,The Hunger Games,2012,7.2,68,770809,72.0
2391,Raiders of the Lost Ark,1981,8.5,85,766282,85.0
2392,Deadpool,2016,8.0,65,748247,80.0
2393,Star Wars: The Force Awakens,2015,8.0,81,747662,80.0
2394,Toy Story,1995,8.3,95,742862,83.0
2395,Jurassic Park,1993,8.1,68,737138,81.0
2396,The Shining,1980,8.4,63,728819,84.0
2397,A Beautiful Mind,2001,8.2,72,727526,82.0
2398,Mad Max: Fury Road,2015,8.1,90,723851,81.0
2399,No Country for Old Men,2007,8.1,91,722825,81.0
2400,Good Will Hunting,1997,8.3,70,721931,83.0
2401,Slumdog Millionaire,2008,8.0,86,716706,80.0
2402,Gone Girl,2014,8.1,79,710979,81.0
2403,Sin City,2005,8.0,74,701757,80.0
2404,Monsters Inc.,2001,8.1,78,695989,81.0
2405,The Terminator,1984,8.0,84,693260,80.0
2406,Die Hard,1988,8.2,70,683978,82.0
2407,Alien,1979,8.5,83,674743,85.0
2408,Gravity,2013,7.7,96,671223,77.0
2409,Donnie Darko,2001,8.1,88,669077,81.0
2410,Requiem for a Dream,2000,8.3,68,666675,83.0
2411,Catch Me If You Can,2002,8.1,75,665288,81.0
2412,A Clockwork Orange,1971,8.3,78,652211,83.0
2413,Harry Potter and the Deathly Hallows: Part 2,2011,8.1,87,650789,81.0
2414,The Hangover,2009,7.7,73,643776,77.0
2415,Toy Story 3,2010,8.3,92,643076,83.0
2416,Iron Man Three,2013,7.2,62,643053,72.0
2417,Gran Torino,2008,8.1,72,641602,81.0
2418,Scarface,1983,8.3,65,627909,83.0
2419,The Big Lebowski,1998,8.1,69,627050,81.0
2420,The Martian,2015,8.0,80,626956,80.0
2421,Amélie,2001,8.3,69,621149,83.0
2422,Black Swan,2010,8.0,79,619293,80.0
2423,City of God,2002,8.6,79,612325,86.0
2424,Spider-Man,2002,7.3,73,611215,73.0
2425,Captain America: The First Avenger,2011,6.9,66,608919,69.0
2426,Star Wars: Episode III - Revenge of the Sith,2005,7.6,68,608353,76.0
2427,Captain America: The Winter Soldier,2014,7.8,70,608111,78.0
2428,I Am Legend,2007,7.2,65,606795,72.0
2429,Indiana Jones and the Last Crusade,1989,8.3,65,600438,83.0
2430,Taxi Driver,1976,8.3,94,600305,83.0
2431,The Pianist,2002,8.5,85,598137,85.0
2432,Silver Linings Playbook,2012,7.8,81,597429,78.0
2433,Avengers: Age of Ultron,2015,7.4,66,594679,74.0
2434,The Grand Budapest Hotel,2014,8.1,88,594073,81.0
2435,Blade Runner,1982,8.2,89,592183,82.0
2436,X-Men: Days of Future Past,2014,8.0,75,590736,80.0
2437,The Good the Bad and the Ugly,1966,8.9,90,586027,89.0
2438,District 9,2009,7.9,81,584741,79.0
2439,X: First Class,2011,7.8,65,582944,78.0
2440,Kill Bill: Vol. 2,2004,8.0,83,581761,80.0
2441,The Imitation Game,2014,8.0,73,581323,80.0
2442,Full Metal Jacket,1987,8.3,76,574404,83.0
2443,How to Train Your Dragon,2010,8.1,74,573194,81.0
2444,Skyfall,2012,7.8,81,572893,78.0
2445,Aliens,1986,8.4,84,571663,84.0
2446,The King's Speech,2010,8.0,88,567609,80.0
2447,The Revenant,2015,8.0,76,567555,80.0
2448,The Bourne Ultimatum,2007,8.0,85,563232,80.0
2449,Trainspotting,1996,8.2,83,562192,82.0
2450,Million Dollar Baby,2004,8.1,86,559844,81.0
2451,Whiplash,2014,8.5,88,559811,85.0
2452,The Incredibles,2004,8.0,90,559084,80.0
2453,The Hunger Games: Catching Fire,2013,7.5,76,554912,75.0
2454,Transformers,2007,7.1,61,554168,71.0
2455,12 Angry Men,1957,8.9,96,551058,89.0
2456,Star Trek,2009,8.0,82,545148,80.0
2457,Pan's Labyrinth,2006,8.2,98,545111,82.0
2458,The Social Network,2010,7.7,95,544959,77.0
2459,The Hobbit: The Desolation of Smaug,2013,7.9,66,544070,79.0
2460,Ratatouille,2007,8.0,96,543097,80.0
2461,12 Years a Slave,2013,8.1,96,543047,81.0
2462,Fargo,1996,8.1,85,533104,81.0
2463,Shrek,2001,7.9,84,530118,79.0
2464,Harry Potter and the Sorcerer's Stone,2001,7.6,64,529875,76.0
2465,World War Z,2013,7.0,63,529104,70.0
2466,Twelve Monkeys,1995,8.0,74,524491,80.0
2467,Prometheus,2012,7.0,64,521150,70.0
2468,Apocalypse Now,1979,8.5,94,520058,85.0
2469,Casino Royale,2006,8.0,80,519852,80.0
2470,Ted,2012,7.0,62,519682,70.0
2471,Spirited Away,2001,8.6,96,516890,86.0
2472,The Curious Case of Benjamin Button,2008,7.8,70,516448,78.0
2473,Edge of Tomorrow,2014,7.9,71,516275,79.0
2474,Groundhog Day,1993,8.0,72,514963,80.0
2475,Argo,2012,7.7,86,513656,77.0
2476,Captain America: Civil War,2016,7.8,75,512833,78.0
2477,X-Men,2000,7.4,64,512495,74.0
2478,2001: A Space Odyssey,1968,8.3,82,509086,83.0
2479,Life of Pi,2012,7.9,79,507235,79.0
2480,The Amazing Spider-Man,2012,7.0,66,503570,70.0
2481,Psycho,1960,8.5,97,502693,85.0
2482,Into the Wild,2007,8.1,73,500615,81.0
2483,Heat,1995,8.2,76,498521,82.0
2484,Drive,2011,7.8,78,497249,78.0
2485,Logan,2017,8.1,77,495828,81.0
2486,Prisoners,2013,8.1,74,490946,81.0
2487,Inside Out,2015,8.2,94,490214,82.0
2488,Frozen,2013,7.5,74,488549,75.0
2489,Birdman or (The Unexpected Virtue of Ignorance),2014,7.7,88,486318,77.0
2490,Jaws,1975,8.0,87,484517,80.0
2491,Kick-Ass,2010,7.6,66,480883,76.0
2492,Looper,2012,7.4,84,480184,74.0
2493,Spider-Man 2,2004,7.3,83,473808,73.0
2494,Lock Stock and Two Smoking Barrels,1998,8.2,66,472959,82.0
2495,L.A. Confidential,1997,8.3,90,472355,83.0
2496,Superbad,2007,7.6,76,465208,76.0
2497,The Matrix Reloaded,2003,7.2,62,461122,72.0
2498,X2,2003,7.5,68,459676,75.0
2499,Arrival,2016,7.9,81,459227,79.0
2500,21 Jump Street,2012,7.2,69,459122,72.0
2501,Harry Potter and the Chamber of Secrets,2002,7.4,63,458656,74.0
2502,The Bourne Identity,2002,7.9,68,458251,79.0
2503,Logan,2017,8.1,77,495828,81.0
2504,Wonder Woman,2017,7.5,76,425775,75.0
2505,Dunkirk,2017,8.0,94,405237,80.0
2506,Star Wars: Episode VIII - The Last Jedi,2017,7.3,85,400911,73.0
2507,Guardians of the Galaxy Vol. 2,2017,7.7,67,396243,77.0
2508,Thor: Ragnarok,2017,7.9,74,363068,79.0
2509,Spider-Man: Homecoming,2017,7.5,73,342634,75.0
2510,Get Out,2017,7.7,84,319361,77.0
2511,Blade Runner 2049,2017,8.1,81,314644,81.0
2512,Baby Driver,2017,7.7,86,311809,77.0
2513,It,2017,7.4,69,291289,74.0
2514,Three Billboards Outside Ebbing Missouri,2017,8.2,88,257548,82.0
2515,John Wick: Chapter 2,2017,7.5,75,236343,75.0
2516,The Shape of Water,2017,7.4,87,234249,74.0
2517,Beauty and the Beast,2017,7.2,65,211508,72.0
2518,Kong: Skull Island,2017,6.7,62,211219,67.0
2519,Alien: Covenant,2017,6.4,65,204352,64.0
2520,Coco,2017,8.4,81,198965,84.0
2521,War for the Planet of the Apes,2017,7.5,82,178644,75.0
2522,Lady Bird,2017,7.5,94,136669,75.0
2523,Wind River,2017,7.8,73,133926,78.0
2524,Atomic Blonde,2017,6.7,63,129524,67.0
2525,Mother!,2017,6.7,75,125858,67.0
2526,Call Me by Your Name,2017,8.0,93,116351,80.0
2527,American Made,2017,7.2,65,108174,72.0
2528,Darkest Hour,2017,7.4,75,105256,74.0
2529,The Lego Batman Movie,2017,7.3,75,102288,73.0
2530,I Tonya,2017,7.5,77,101550,75.0
2531,The Big Sick,2017,7.6,86,89947,76.0
2532,The Disaster Artist,2017,7.5,76,88019,75.0
2533,The Sixth Sense,1999,8.1,64,806444,81.0
2534,Iron Man,2008,7.9,79,802956,79.0
2535,Up,2009,8.3,88,794144,83.0
2536,The Truman Show,1998,8.1,90,789068,81.0
2537,One Flew Over the Cuckoo's Nest,1975,8.7,80,786259,87.0
2538,Eternal Sunshine of the Spotless Mind,2004,8.3,89,779788,83.0
2539,Reservoir Dogs,1992,8.3,79,779577,83.0
2540,The Lion King,1994,8.5,83,776378,85.0
2541,The Hunger Games,2012,7.2,68,770809,72.0
2542,Raiders of the Lost Ark,1981,8.5,85,766282,85.0
2543,Deadpool,2016,8.0,65,748247,80.0
