,movies,year,imdb_rating,metascore,number_of_votes,n_imdb
288,The Lord of the Rings: The Two Towers,2002,8.7,87,1273764,87.0
289,Catch Me If You Can,2002,8.1,75,665288,81.0
290,City of God,2002,8.6,79,612325,86.0
291,Spider-Man,2002,7.3,73,611215,73.0
292,The Pianist,2002,8.5,85,598137,85.0
293,Harry Potter and the Chamber of Secrets,2002,7.4,63,458656,74.0
294,The Bourne Identity,2002,7.9,68,458251,79.0
295,Minority Report,2002,7.7,80,448954,77.0
296,Gangs of New York,2002,7.5,72,355818,75.0
297,28 Days Later...,2002,7.6,73,332636,76.0
298,Insomnia,2002,7.2,78,244592,72.0
299,Panic Room,2002,6.8,65,228436,68.0
300,Road to Perdition,2002,7.7,72,220905,77.0
301,8 Mile,2002,7.1,77,216263,71.0
302,Chicago,2002,7.2,82,193343,72.0
303,Austin Powers in Goldmember,2002,6.2,62,177402,62.0
304,Ying xiong,2002,7.9,85,161575,79.0
305,Adaptation.,2002,7.7,83,159544,77.0
306,25th Hour,2002,7.7,67,159351,77.0
307,About a Boy,2002,7.1,75,154973,71.0
308,Lilo & Stitch,2002,7.2,73,140012,72.0
309,Bowling for Columbine,2002,8.0,72,131647,80.0
310,Punch-Drunk Love,2002,7.3,78,125414,73.0
311,We Were Soldiers,2002,7.2,65,116301,72.0
312,The Count of Monte Cristo,2002,7.8,61,115508,78.0
313,About Schmidt,2002,7.2,85,114730,72.0
314,The Hours,2002,7.6,80,112685,76.0
315,My Big Fat Greek Wedding,2002,6.6,62,110689,66.0
316,Infernal Affairs,2002,8.1,75,108263,81.0
317,The Sixth Sense,1999,8.1,64,806444,81.0
318,Iron Man,2008,7.9,79,802956,79.0
319,Up,2009,8.3,88,794144,83.0
320,The Truman Show,1998,8.1,90,789068,81.0
321,One Flew Over the Cuckoo's Nest,1975,8.7,80,786259,87.0
322,Eternal Sunshine of the Spotless Mind,2004,8.3,89,779788,83.0
323,Reservoir Dogs,1992,8.3,79,779577,83.0
324,The Lion King,1994,8.5,83,776378,85.0
325,The Hunger Games,2012,7.2,68,770809,72.0
326,Raiders of the Lost Ark,1981,8.5,85,766282,85.0
327,Deadpool,2016,8.0,65,748247,80.0
328,Star Wars: The Force Awakens,2015,8.0,81,747662,80.0
329,Toy Story,1995,8.3,95,742862,83.0
330,Jurassic Park,1993,8.1,68,737138,81.0
331,The Shining,1980,8.4,63,728819,84.0
332,A Beautiful Mind,2001,8.2,72,727526,82.0
333,Mad Max: Fury Road,2015,8.1,90,723851,81.0
334,No Country for Old Men,2007,8.1,91,722825,81.0
335,Good Will Hunting,1997,8.3,70,721931,83.0
336,Slumdog Millionaire,2008,8.0,86,716706,80.0
337,Gone Girl,2014,8.1,79,710979,81.0
338,Sin City,2005,8.0,74,701757,80.0
339,Monsters Inc.,2001,8.1,78,695989,81.0
340,The Terminator,1984,8.0,84,693260,80.0
341,Die Hard,1988,8.2,70,683978,82.0
342,Alien,1979,8.5,83,674743,85.0
343,Gravity,2013,7.7,96,671223,77.0
344,Donnie Darko,2001,8.1,88,669077,81.0
345,Requiem for a Dream,2000,8.3,68,666675,83.0
346,Catch Me If You Can,2002,8.1,75,665288,81.0
347,A Clockwork Orange,1971,8.3,78,652211,83.0
348,Harry Potter and the Deathly Hallows: Part 2,2011,8.1,87,650789,81.0
349,The Hangover,2009,7.7,73,643776,77.0
350,Toy Story 3,2010,8.3,92,643076,83.0
351,Iron Man Three,2013,7.2,62,643053,72.0
352,Gran Torino,2008,8.1,72,641602,81.0
